#* 28/03/2020 05:22:01	123Solar awake

#* 27/03/2020 18:13:00	123Solar asleep

#* 27/03/2020 16:13:00	Starting 123Solar (7823)

#* 27/03/2020 16:12:58	Stopping 123Solar (21235)

#3 27/03/2020 08:59:25	VGrid high warning 250.69 V on phase 1

#3 27/03/2020 06:40:02	Sync. inverter time

#3 27/03/2020 05:44:23 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 27/03/2020 05:39:56	Clean up

#3 27/03/2020 05:34:52	Missing 5' sample

#3 27/03/2020 05:30:32	Missing 5' sample

#* 27/03/2020 05:24:02	123Solar awake

#* 26/03/2020 18:12:01	123Solar asleep

#3 26/03/2020 15:54:24	VGrid high warning 250.34 V on phase 1

#3 26/03/2020 15:44:33	VGrid high warning 250.1 V on phase 1

#3 26/03/2020 15:29:24	VGrid high warning 250.14 V on phase 1

#* 26/03/2020 15:24:55	Starting 123Solar (16884)

#* 26/03/2020 15:24:52	Stopping 123Solar (17167)

#3 26/03/2020 09:04:58	Connection restored

#3 26/03/2020 09:02:31	Connection lost

#3 26/03/2020 08:59:23	Missing 5' sample

#3 26/03/2020 08:57:31	Connection lost

#3 26/03/2020 08:54:58	Missing 5' sample

#3 26/03/2020 08:52:04	Connection lost

#3 26/03/2020 08:50:03	Missing 5' sample

#3 26/03/2020 08:47:22	Connection lost

#3 26/03/2020 08:45:00	Missing 5' sample

#3 26/03/2020 08:42:27	Connection lost

#3 26/03/2020 08:39:50	Missing 5' sample

#3 26/03/2020 08:35:03 
Alarm 1:               Grid Fail W003
Alarm 2:               Grid Fail W003
Alarm 3:               Grid Fail W003
Alarm 4:               Grid Fail W003

#3 26/03/2020 06:44:51	Sync. inverter time

#3 26/03/2020 05:45:08	Clean up

#3 26/03/2020 05:35:34	Missing 5' sample

#* 26/03/2020 05:26:06	123Solar awake

#* 25/03/2020 18:10:05	123Solar asleep

#3 25/03/2020 16:29:14	VGrid high warning 250.35 V on phase 1

#3 25/03/2020 16:19:36	VGrid high warning 250.43 V on phase 1

#3 25/03/2020 16:09:24	VGrid high warning 250.35 V on phase 1

#3 25/03/2020 16:04:15	VGrid high warning 250.53 V on phase 1

#3 25/03/2020 15:59:04	VGrid high warning 251.23 V on phase 1

#3 25/03/2020 15:54:18	VGrid high warning 251.14 V on phase 1

#3 25/03/2020 15:49:17	VGrid high warning 250.54 V on phase 1

#3 25/03/2020 15:44:03	VGrid high warning 251.67 V on phase 1

#3 25/03/2020 15:39:24	VGrid high warning 251.47 V on phase 1

#* 25/03/2020 15:34:11	Starting 123Solar (25503)

#* 25/03/2020 15:34:10	Stopping 123Solar (18635)

#3 25/03/2020 08:44:59	Missing 5' sample

#3 25/03/2020 06:39:50	Sync. inverter time

#3 25/03/2020 05:44:09 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 25/03/2020 05:39:48	Clean up

#* 25/03/2020 05:29:09	123Solar awake

#* 24/03/2020 18:08:08	123Solar asleep

#3 24/03/2020 16:32:39	VGrid high warning 250.95 V on phase 1

#3 24/03/2020 16:27:32	VGrid high warning 250.84 V on phase 1

#3 24/03/2020 16:17:31	VGrid high warning 250.3 V on phase 1

#3 24/03/2020 16:12:40	VGrid high warning 250.96 V on phase 1

#3 24/03/2020 16:07:31	VGrid high warning 251.08 V on phase 1

#3 24/03/2020 16:05:05	Sync. inverter time

#3 24/03/2020 16:02:45	VGrid high warning 251.06 V on phase 1

