#1 20/03/2020 14:45:03	Riso warning 4.3 Mohm

#1 20/03/2020 14:40:01	Riso warning 4.3 Mohm

#1 20/03/2020 14:35:03	Riso warning 4.3 Mohm

#1 20/03/2020 14:30:15	Riso warning 4.3 Mohm

#1 20/03/2020 14:25:02	Riso warning 4.3 Mohm

#1 20/03/2020 14:20:03	Riso warning 4.3 Mohm

#1 20/03/2020 14:15:01	Riso warning 4.3 Mohm

#1 20/03/2020 14:10:09	Riso warning 4.3 Mohm

#1 20/03/2020 14:05:14	Riso warning 4.3 Mohm

#1 20/03/2020 14:00:16	Riso warning 4.3 Mohm

#1 20/03/2020 13:55:04	Riso warning 4.3 Mohm

#1 20/03/2020 13:50:02	Riso warning 4.3 Mohm

#1 20/03/2020 13:45:16	Riso warning 4.3 Mohm

#1 20/03/2020 13:40:06	Riso warning 4.3 Mohm

#1 20/03/2020 13:35:10	Riso warning 4.3 Mohm

#1 20/03/2020 13:30:12	Riso warning 4.3 Mohm

#1 20/03/2020 13:25:01	Riso warning 4.3 Mohm

#1 20/03/2020 13:20:09	Riso warning 4.3 Mohm

#1 20/03/2020 13:15:09	Riso warning 4.3 Mohm

#1 20/03/2020 13:10:13	Riso warning 4.3 Mohm

#1 20/03/2020 13:05:12	Riso warning 4.3 Mohm

#1 20/03/2020 13:00:10	Riso warning 4.3 Mohm

#1 20/03/2020 12:55:13	Riso warning 4.3 Mohm

#1 20/03/2020 12:50:02	Riso warning 4.3 Mohm

#1 20/03/2020 12:45:06	Riso warning 4.3 Mohm

#1 20/03/2020 12:40:09	Riso warning 4.3 Mohm

#1 20/03/2020 12:35:07	Riso warning 4.3 Mohm

#1 20/03/2020 12:30:03	Riso warning 4.3 Mohm

#1 20/03/2020 12:25:06	Riso warning 4.3 Mohm

#1 20/03/2020 12:20:10	Riso warning 4.3 Mohm

#1 20/03/2020 12:15:14	Riso warning 4.3 Mohm

#1 20/03/2020 12:10:13	Riso warning 4.3 Mohm

#1 20/03/2020 12:05:15	Riso warning 4.3 Mohm

#1 20/03/2020 12:00:03	Riso warning 4.3 Mohm

#1 20/03/2020 11:55:05	Riso warning 4.3 Mohm

#1 20/03/2020 11:50:11	Riso warning 4.3 Mohm

#1 20/03/2020 11:45:12	Riso warning 4.3 Mohm

#1 20/03/2020 11:40:14	Riso warning 4.3 Mohm

#1 20/03/2020 11:35:07	Riso warning 4.3 Mohm

#1 20/03/2020 11:30:07	Riso warning 4.3 Mohm

#1 20/03/2020 11:25:15	Riso warning 4.3 Mohm

#1 20/03/2020 11:25:15	VGrid high warning 250.93 V on phase 1

#1 20/03/2020 11:20:06	Riso warning 4.3 Mohm

#1 20/03/2020 11:20:06	VGrid high warning 250.67 V on phase 1

#1 20/03/2020 11:15:14	Riso warning 4.3 Mohm

#1 20/03/2020 11:15:14	VGrid high warning 250.36 V on phase 1

#1 20/03/2020 11:10:09	Riso warning 4.3 Mohm

#1 20/03/2020 11:05:10	Riso warning 4.3 Mohm

#1 20/03/2020 11:00:16	Riso warning 4.3 Mohm

#1 20/03/2020 10:55:07	Riso warning 4.3 Mohm

#1 20/03/2020 10:50:11	Riso warning 4.3 Mohm

#1 20/03/2020 10:45:05	Riso warning 4.3 Mohm

#1 20/03/2020 10:40:17	Riso warning 4.3 Mohm

