#* 04/04/2020 11:13:38	Stopping 123Solar (1775)

#* 04/04/2020 11:13:11	Starting 123Solar (1775)

#* 04/04/2020 11:10:22	Starting 123Solar (1686)

#* 04/04/2020 11:10:12	Stopping 123Solar (1215)

#* 04/04/2020 11:01:06	Starting 123Solar (1215)

#2 30/03/2020 12:39:04	VGrid high warning 250.06 V on phase 1

#2 30/03/2020 11:54:17	VGrid high warning 250.68 V on phase 1

#2 30/03/2020 11:49:10	VGrid high warning 250.69 V on phase 1

#2 30/03/2020 11:19:00	VGrid high warning 251.34 V on phase 1

#2 30/03/2020 10:49:10	VGrid high warning 250.53 V on phase 1

#2 30/03/2020 10:24:06	VGrid high warning 250.31 V on phase 1

#2 30/03/2020 07:55:04	Sync. inverter time

#2 30/03/2020 07:09:02 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 30/03/2020 06:59:01 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 30/03/2020 06:54:52	Clean up log

#2 30/03/2020 06:49:59	Missing 5' sample

#2 30/03/2020 06:45:32	Missing 5' sample

#2 30/03/2020 06:39:55	Missing 5' sample

#2 30/03/2020 06:35:44	Missing 5' sample

#* 30/03/2020 06:35:09	Starting 123Solar (12962)

#* 30/03/2020 06:35:04	Stopping 123Solar (32190)

#* 30/03/2020 06:17:47	123Solar awake

#* 29/03/2020 19:17:46	123Solar asleep

#2 29/03/2020 15:20:13	VGrid high warning 250.15 V on phase 1

#2 29/03/2020 15:10:23	VGrid high warning 250.77 V on phase 1

#2 29/03/2020 15:05:01	VGrid high warning 251.02 V on phase 1

#2 29/03/2020 14:50:20	VGrid high warning 250.22 V on phase 1

#2 29/03/2020 14:45:00	VGrid high warning 251.13 V on phase 1

#2 29/03/2020 14:30:16	VGrid high warning 252.29 V on phase 1

#2 29/03/2020 14:25:10	VGrid high warning 252.58 V on phase 1

#2 29/03/2020 14:20:18	VGrid high warning 252.03 V on phase 1

#2 29/03/2020 14:15:21	VGrid high warning 250.38 V on phase 1

#2 29/03/2020 14:10:09	VGrid high warning 250.62 V on phase 1

#2 29/03/2020 14:00:04	VGrid high warning 252.51 V on phase 1

#2 29/03/2020 13:55:15	VGrid high warning 252.43 V on phase 1

#2 29/03/2020 13:40:15	VGrid high warning 251.23 V on phase 1

#2 29/03/2020 13:35:10	VGrid high warning 250.98 V on phase 1

#2 29/03/2020 13:15:08	VGrid high warning 251.35 V on phase 1

#2 29/03/2020 13:10:29	VGrid high warning 252.05 V on phase 1

#2 29/03/2020 13:05:01	VGrid high warning 252.05 V on phase 1

#2 29/03/2020 12:50:12	VGrid high warning 251.34 V on phase 1

#2 29/03/2020 12:15:25	VGrid high warning 251.28 V on phase 1

#2 29/03/2020 12:10:41	VGrid high warning 250.71 V on phase 1

#2 29/03/2020 11:25:02	VGrid high warning 250.19 V on phase 1

#2 29/03/2020 11:20:43	VGrid high warning 252.37 V on phase 1

#2 29/03/2020 11:15:19	VGrid high warning 251.36 V on phase 1

#2 29/03/2020 10:55:22	VGrid high warning 250.18 V on phase 1

#2 29/03/2020 10:50:22	VGrid high warning 250.57 V on phase 1

#2 29/03/2020 10:10:21	VGrid high warning 250.08 V on phase 1

#2 29/03/2020 10:05:03	VGrid high warning 250.09 V on phase 1

#2 29/03/2020 09:30:34	VGrid high warning 250.9 V on phase 1

#2 29/03/2020 07:50:25	Sync. inverter time

#2 29/03/2020 06:55:36 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 29/03/2020 06:50:10	Clean up log

#2 29/03/2020 06:44:39	Missing 5' sample

#2 29/03/2020 06:40:30	Missing 5' sample

#2 29/03/2020 06:29:52	Missing 5' sample

#2 29/03/2020 06:24:58	Missing 5' sample

#2 29/03/2020 06:20:07	Missing 5' sample

#* 29/03/2020 06:20:07	123Solar awake

#* 28/03/2020 18:15:06	123Solar asleep

#2 28/03/2020 16:29:27	VGrid high warning 251.16 V on phase 1

#2 28/03/2020 16:24:17	VGrid high warning 250.04 V on phase 1

#2 28/03/2020 16:09:31	VGrid high warning 250.01 V on phase 1

#2 28/03/2020 16:04:13	VGrid high warning 251.34 V on phase 1

#2 28/03/2020 15:59:36	VGrid high warning 250.34 V on phase 1

#2 28/03/2020 15:49:07	VGrid high warning 250.19 V on phase 1

#2 28/03/2020 15:44:03	VGrid high warning 250.44 V on phase 1

#2 28/03/2020 15:39:05	VGrid high warning 250.95 V on phase 1

#2 28/03/2020 15:34:23	VGrid high warning 250.5 V on phase 1

#2 28/03/2020 15:29:31	VGrid high warning 252.36 V on phase 1

#2 28/03/2020 15:24:17	VGrid high warning 250.44 V on phase 1

#2 28/03/2020 15:19:04	VGrid high warning 251.53 V on phase 1

#2 28/03/2020 15:14:04	VGrid high warning 252.74 V on phase 1

#2 28/03/2020 15:09:15	VGrid high warning 250.6 V on phase 1

#2 28/03/2020 15:04:24	VGrid high warning 252.46 V on phase 1

#2 28/03/2020 14:59:05	VGrid high warning 252.02 V on phase 1

#2 28/03/2020 14:54:01	VGrid high warning 250.43 V on phase 1

#2 28/03/2020 14:44:04	VGrid high warning 251.82 V on phase 1

#2 28/03/2020 14:39:04	VGrid high warning 253.18 V on phase 1

#* 28/03/2020 14:37:26	Starting 123Solar (32190)

#* 28/03/2020 14:37:24	Stopping 123Solar (23994)

#2 28/03/2020 14:34:26	VGrid high warning 251.56 V on phase 1

#2 28/03/2020 14:19:02	VGrid high warning 250.36 V on phase 1

#2 28/03/2020 14:14:06	VGrid high warning 252.88 V on phase 1

#2 28/03/2020 14:09:01	VGrid high warning 250.8 V on phase 1

#2 28/03/2020 13:44:07	VGrid high warning 251.29 V on phase 1

#2 28/03/2020 13:39:13	VGrid high warning 251.97 V on phase 1

#2 28/03/2020 13:19:12	VGrid high warning 250.15 V on phase 1

#2 28/03/2020 12:59:04	VGrid high warning 250.05 V on phase 1

#2 28/03/2020 12:44:04	VGrid high warning 251.57 V on phase 1

#2 28/03/2020 11:24:02	VGrid high warning 250.88 V on phase 1

#2 28/03/2020 11:19:07	VGrid high warning 250.32 V on phase 1

#2 28/03/2020 10:49:15	VGrid high warning 251.09 V on phase 1

#2 28/03/2020 10:04:14	VGrid high warning 250.47 V on phase 1

#2 28/03/2020 09:59:01	VGrid high warning 250.06 V on phase 1

#2 28/03/2020 09:24:08	VGrid high warning 250.95 V on phase 1

#* 28/03/2020 09:21:33	Starting 123Solar (23994)

#* 28/03/2020 09:21:31	Stopping 123Solar (7823)

#2 28/03/2020 09:14:15	VGrid high warning 252.14 V on phase 1

#2 28/03/2020 09:09:22	VGrid high warning 250.4 V on phase 1

#2 28/03/2020 06:35:29	Sync. inverter time

#2 28/03/2020 05:39:05 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 28/03/2020 05:34:57	Clean up log

#2 28/03/2020 05:30:06	Missing 5' sample

#* 28/03/2020 05:22:01	123Solar awake

#* 27/03/2020 18:13:00	123Solar asleep

#* 27/03/2020 16:13:00	Starting 123Solar (7823)

#* 27/03/2020 16:12:58	Stopping 123Solar (21235)

#2 27/03/2020 16:05:23	VGrid high warning 251.08 V on phase 1

#2 27/03/2020 16:00:06	VGrid high warning 250.89 V on phase 1

#2 27/03/2020 15:50:03	VGrid high warning 250.53 V on phase 1

#2 27/03/2020 15:40:02	VGrid high warning 251.4 V on phase 1

#2 27/03/2020 15:15:26	VGrid high warning 250.09 V on phase 1

#2 27/03/2020 15:10:01	VGrid high warning 250.84 V on phase 1

#2 27/03/2020 15:05:00	VGrid high warning 250.41 V on phase 1

#2 27/03/2020 15:00:19	VGrid high warning 250.14 V on phase 1

#2 27/03/2020 14:55:04	VGrid high warning 250.45 V on phase 1

#2 27/03/2020 14:45:21	VGrid high warning 250.7 V on phase 1

#2 27/03/2020 14:40:00	VGrid high warning 250.58 V on phase 1

#2 27/03/2020 14:35:22	VGrid high warning 250.7 V on phase 1

#2 27/03/2020 14:25:20	VGrid high warning 250.01 V on phase 1

#2 27/03/2020 14:20:22	VGrid high warning 250.22 V on phase 1

#2 27/03/2020 14:15:01	VGrid high warning 250.81 V on phase 1

#2 27/03/2020 14:10:05	VGrid high warning 251.03 V on phase 1

#2 27/03/2020 14:05:03	VGrid high warning 251.18 V on phase 1

#2 27/03/2020 14:00:07	VGrid high warning 251.49 V on phase 1

#2 27/03/2020 13:55:16	VGrid high warning 250.94 V on phase 1

#2 27/03/2020 13:50:22	VGrid high warning 251.11 V on phase 1

#2 27/03/2020 13:45:24	VGrid high warning 251.37 V on phase 1

#2 27/03/2020 13:40:23	VGrid high warning 250.06 V on phase 1

#2 27/03/2020 13:30:00	VGrid high warning 250.27 V on phase 1

#2 27/03/2020 13:25:00	VGrid high warning 250.71 V on phase 1

#2 27/03/2020 13:20:00	VGrid high warning 251.29 V on phase 1

#2 27/03/2020 13:15:06	VGrid high warning 250.89 V on phase 1

#2 27/03/2020 13:10:00	VGrid high warning 250.14 V on phase 1

#2 27/03/2020 13:05:25	VGrid high warning 250.49 V on phase 1

#2 27/03/2020 12:45:16	VGrid high warning 250.15 V on phase 1

#2 27/03/2020 12:40:21	VGrid high warning 250.43 V on phase 1

#2 27/03/2020 12:15:20	VGrid high warning 250.41 V on phase 1

#2 27/03/2020 12:10:05	VGrid high warning 250.5 V on phase 1

#* 27/03/2020 09:06:28	Starting 123Solar (21235)

#* 27/03/2020 09:06:23	Stopping 123Solar (16884)

#2 27/03/2020 09:00:03	VGrid high warning 250.28 V on phase 1

#2 27/03/2020 06:39:57	Sync. inverter time

#2 27/03/2020 05:40:15	Clean up log

#2 27/03/2020 05:29:57	Missing 5' sample

#* 27/03/2020 05:24:02	123Solar awake

#* 26/03/2020 18:12:01	123Solar asleep

#2 26/03/2020 15:54:08	VGrid high warning 250.34 V on phase 1

#2 26/03/2020 15:29:05	VGrid high warning 250.31 V on phase 1

#* 26/03/2020 15:24:55	Starting 123Solar (16884)

#* 26/03/2020 15:24:52	Stopping 123Solar (17167)

#2 26/03/2020 14:54:02	VGrid high warning 250.27 V on phase 1

#2 26/03/2020 14:49:03	VGrid high warning 250.23 V on phase 1

#2 26/03/2020 14:39:21	VGrid high warning 250.44 V on phase 1

#2 26/03/2020 14:34:24	VGrid high warning 250.03 V on phase 1

#2 26/03/2020 14:24:05	VGrid high warning 251.15 V on phase 1

#2 26/03/2020 14:19:23	VGrid high warning 250.91 V on phase 1

#2 26/03/2020 14:14:21	VGrid high warning 252.64 V on phase 1

#2 26/03/2020 14:09:20	VGrid high warning 252.37 V on phase 1

